F,Obj_ID,dist1_mod,dist2_mod,YawDiff1_mod,YawDiff2_mod,speed_SGF,yawAngle_axis2,acc_SGF
69181,182x_1111_88,99,99,0,0,1.748847568,2.728587111,-1.861454757
64971,161x_1111_23,4.926582536,99,1.748227683,0,1.748886371,1.532770872,0.10117255
66136,142x_1119_38,4.470937861,6.589508607,-0.143760387,-2.945425035,1.749026443,-3.049824512,-0.869440438
66148,142x_1119_38,4.561454541,5.724657253,6.227175129,3.253122497,1.749083685,3.136471235,0.110966213
46457,112x_112x_1113_103,2.637882347,4.376502422,-0.213358737,-0.295029619,1.749393896,-0.477676272,2.590380791
15813,112x_112x_1111_179,1.528118542,5.797045763,0.006740757,5.999062446,1.749869254,3.079324824,4.978622086
38793,112x_112x_1116_40,99,99,0,0,1.750132053,-3.056369628,0.162839465
20262,142x_1111_186,6.170892822,10.71048705,-0.107481015,-0.180474244,1.750303151,-3.139049241,1.115230293
65031,161x_1111_23,4.679459521,99,0.000231016,0,1.750978349,-0.154962167,0.606152155
64903,161x_1111_23,3.825923842,99,2.837920232,0,1.751221996,2.747542229,2.147604346
26641,122x_1113_161,2.564133418,99,3.359901253,0,1.751460794,2.942220985,-1.154538615
65041,142x_1114_92,1.771665017,8.806428135,5.562961321,5.5970245,1.751558804,2.68861321,0.992029435
2850,152x_1111_193,7.330667771,7.752436122,6.163560733,0.092854987,1.751988762,3.117988053,-0.113190961
26640,122x_1113_161,2.576300253,99,3.330616229,0,1.752142263,2.933980012,0.072160474
66149,142x_1119_38,4.534102911,5.672615369,5.966786744,3.185684313,1.752536521,3.098505863,-0.023541746
3024,121x_1111_58,99,99,0,0,1.752679759,2.784914731,4.034405065
26574,122x_1113_161,99,99,0,0,1.752732782,3.056229088,1.044236675
94333,162x_1112_177,3.574889595,4.532400469,-0.047601545,-0.350263796,1.75307067,-0.238073416,-0.348888339
2849,152x_1111_193,7.347231762,7.683839003,0.042297783,0.073015564,1.753231608,3.12288707,-0.161180739
46480,112x_112x_1113_103,2.190111483,4.391417724,0.384651015,-0.658804864,1.753236324,-0.309983534,-0.929214148
80157,162x_1111_106,99,99,0,0,1.753272293,-0.017511781,3.571718525
66507,142x_1115_201,5.169932283,6.734061322,-0.468910387,-0.280753066,1.753446684,-2.990672404,-0.479520948
66537,142x_1115_201,5.444563912,7.093299296,-0.069055238,-0.182651133,1.75387587,-2.759519889,-3.0173688
66150,142x_1119_38,4.502619214,5.623621788,5.772473631,3.195674967,1.754491837,3.103564351,-0.189609149
63937,172x_1112_38,99,99,0,0,1.754561278,-2.923843289,-2.807961772
2856,152x_1111_193,7.23309163,7.886013538,6.127067192,5.693304694,1.754823579,3.110410239,0.327548085
49177,112x_112x_1114_55,4.299164621,99,-6.236598754,0,1.754917874,-3.101326261,2.932896822
104037,122x_1117_86,99,99,0,0,1.755025639,-3.120734001,-0.680482652
65073,161x_1111_23,99,99,0,0,1.755040847,0.038148721,-0.47825025
64952,161x_1111_23,5.071063039,99,0.3949426,0,1.75522351,0.280528468,0.556361511
2758,152x_1111_193,4.862716577,5.530225104,0.100131626,-5.797205794,1.755589806,-2.923333641,0.410060301
91853,191x_1111_51,99,99,0,0,1.755641519,-2.81351188,-1.309967514
104036,122x_1117_86,99,99,0,0,1.755783615,3.129966488,-0.029536569
103642,162x_1113_157,5.697072529,9.845595412,2.95397105,1.855298991,1.756117798,0.369352039,-2.600651705
8355,122x_1111_102,10.93646672,99,-1.096234004,0,1.756123158,0.234062255,1.447579851
65053,161x_1111_23,99,99,0,0,1.756124452,-0.098147967,-0.54618016
38,171x_1111_10,99,99,0,0,1.756415186,2.441491336,2.916933733
92419,122x_1119_22,4.750015182,99,0.023209337,0,1.756832423,0.093919899,-4.500124178
66439,142x_1115_201,2.907539689,6.944054611,6.157455227,3.993418882,1.757633727,3.073455128,-0.324575848
54,171x_1111_10,99,99,0,0,1.757965101,2.746399629,1.164690356
69,171x_1111_10,99,99,0,0,1.758345708,2.778993805,-0.638224524
40405,152x_1113_106,6.412580372,6.444159436,-2.892688374,3.173790071,1.758484553,0.168303705,4.250201706
61890,122x_1115_85,7.306487389,99,0.126217998,0,1.758513284,0.403904999,3.108330031
66440,142x_1115_201,2.907536586,6.867301776,6.102318771,4.086949885,1.75859625,3.065377335,0.131967923
66574,142x_1115_201,6.325432919,10.68981906,5.377919517,5.514947305,1.758777415,3.01075356,1.356482456
66551,142x_1115_201,5.265126633,7.246053648,0.387998129,-5.338711258,1.758845768,-2.650813345,-3.084013774
20331,142x_1111_186,7.876036749,10.2702911,-5.96000285,-5.897227468,1.758864413,-2.935715128,-0.82835978
66481,142x_1115_201,2.198217072,5.181977482,-6.186680337,-0.032617589,1.759178769,-3.075436807,2.998898419
37525,142x_1113_81,2.973934517,4.010326649,-0.128624052,-0.281253843,1.759216556,-0.371564577,4.872309203
66476,142x_1115_201,2.285435805,5.242609449,-0.069437539,-0.325294466,1.759335659,-2.92531184,-1.549172683
38741,112x_112x_1116_40,4.65710427,99,5.855362107,0,1.75938417,3.032811767,0.493251207
103566,172x_1113_59,99,99,0,0,1.75943423,-2.883220166,0.595145719
15785,112x_112x_1111_179,1.618945002,5.642331971,-0.391128618,-5.978703629,1.759481643,-2.989427404,-4.204341835
64972,161x_1111_23,5.015849638,99,1.995585585,0,1.759524002,1.696563287,0.335051292
103572,172x_1113_59,99,99,0,0,1.759784994,-2.855281877,-0.660332615
64970,161x_1111_23,4.854550376,99,1.411174702,0,1.759904413,1.218498484,-0.200793176
104051,122x_1117_86,99,99,0,0,1.760004763,-3.065488591,1.109346872
2848,152x_1111_193,7.346392796,7.619741121,0.160808414,0.01806313,1.76027019,3.116994724,-0.247683778
2973,152x_1111_193,8.487038144,99,-0.308536707,0,1.760314381,-3.040668549,-1.529836664
69068,182x_1111_88,5.517172255,99,-0.22528365,0,1.760488722,-2.95487211,0.503938366
104076,122x_1117_86,99,99,0,0,1.760578571,2.990958505,2.483541767
38767,112x_112x_1116_40,4.381814168,99,6.173537424,0,1.760809091,3.109326478,2.203179481
66090,142x_1119_38,4.314177916,11.61016141,5.302679252,2.828637752,1.761113782,2.967339855,0.258767906
80334,122x_1116_95,3.342219143,4.939893357,0.887442626,-5.203502607,1.761410643,-2.154931254,-1.953207805
40417,152x_1113_106,3.955159835,7.825571834,-4.891001454,-0.174379556,1.761503292,-3.011469096,1.96977049
