ID,X,Y,F,VX,VY,Obj,V,V_kph,V_mps,VX_mps,VY_mps,comp,type,Obj_ID,X_SGF,Y_SGF,V_mps_corrected,speed_SGF,VX_mps_corrected,speed_x_SGF,VY_mps_corrected,speed_y_SGF,acc_inst,acc_inst_x,acc_inst_y,yawAngle,acc_SGF,acc_SGF_x,acc_SGF_y,yawAngle_SGF,yawRate,yawRate_SGF,jerk,jerk_SGF,X_axis2_SGF,Y_axis2_SGF,deltaX,deltaY,quarter,yawAngle_axis2
71,29.17,45.61,15823,0.02034,-0.03661,165,0.041880875,4.518611377,1.255169827,0.6095898,-1.0972017,1111,p,1111_165,29.17747511,45.60484163,1.255169827,1.338402793,0.02034,0.023888335,-0.03661,-0.037659873,0.517254679,-0.011593644,-0.032981917,-0.560220191,0.481682925,-0.014709739,-0.035822154,-0.529728679,0.147827233,0.073828638,-30.6182975,-27.93046492,53.07343395,10.69285942,-0.011373857,-0.011373857,3,-2.35619449
72,29.19,45.57,15824,0.01827,-0.03691,165,0.041184232,4.443449204,1.234291446,0.5475519,-1.1061927,1111,p,1111_165,29.2039457,45.56179186,1.234291446,1.355661875,0.01827,0.023501493,-0.03691,-0.038760371,2.726724601,0.063341934,-0.064451773,-0.551291308,2.162661927,0.044671245,-0.058205522,-0.563283216,0.503318058,0.349523295,-25.21468503,-24.887498,53.06085602,10.64391281,-0.01257793,-0.01257793,3,-2.35619449
73,29.22,45.52,15825,0.02099,-0.03935,165,0.044598235,4.811792813,1.336609115,0.6290703,-1.1793195,1111,p,1111_165,29.23608145,45.51498643,1.336609115,1.446643677,0.02099,0.025615005,-0.03935,-0.040910914,3.549535347,0.092451619,-0.077060329,-0.601663439,3.23835302,0.084768883,-0.070994077,-0.602090964,0.582116221,0.512271653,-16.1353664,-17.34192966,53.04951205,10.58828216,-0.011343973,-0.011343973,3,-2.35619449
74,29.27,45.47,15826,0.02706,-0.04274,165,0.050586077,5.457833034,1.516064732,0.8109882,-1.2809178,1111,p,1111_165,29.27217195,45.46567421,1.516064732,1.565079958,0.02706,0.02869981,-0.04274,-0.043482163,3.541400837,0.098182805,-0.074237995,-0.631801406,3.671012726,0.105056846,-0.073873686,-0.632678186,0.458808335,0.535152304,-6.489895583,-7.981399548,53.03911218,10.52806537,-0.010399866,-0.010399866,3,-2.35619449
75,29.32,45.41,15827,0.03733,-0.04776,165,0.060618038,6.540201328,1.816722591,1.1187801,-1.4313672,1111,p,1111_165,29.31114932,45.4158733,1.816722591,1.683244817,0.03733,0.031975846,-0.04776,-0.04595924,3.254758337,0.097896395,-0.064063655,-0.664080461,3.572945793,0.10865254,-0.068018388,-0.655646223,0.344520552,0.456010954,1.471003987,0.966413768,53.03036625,10.46543252,-0.008745932,-0.008745932,3,-2.35619449
76,29.37,45.36,15828,0.04107,-0.04971,165,0.06448123,6.957008848,1.932502458,1.2308679,-1.4898087,1111,p,1111_165,29.35247059,45.36501357,1.932502458,1.791845362,0.04107,0.035242326,-0.04971,-0.048096833,2.887355856,0.09493384,-0.052081079,-0.682289759,2.951581728,0.094893022,-0.053053553,-0.67507918,0.291494351,0.321440946,9.320460975,8.341274302,53.02248694,10.40037811,-0.00787931,-0.00787931,3,-2.35619449
77,29.4,45.31,15829,0.0434,-0.05248,165,0.068100737,7.347524732,2.040979092,1.300698,-1.5728256,1111,p,1111_165,29.39470588,45.31261538,2.040979092,1.888186899,0.0434,0.038409955,-0.05248,-0.049834606,1.845344854,0.066964643,-0.028850126,-0.678416007,2.075389345,0.072146535,-0.033974137,-0.69416535,0.286292552,0.186779359,13.14288575,13.43781378,53.01413594,10.33359749,-0.008350998,-0.008350998,3,-2.35619449
78,29.43,45.26,15830,0.04269,-0.05233,165,0.067534177,7.286397375,2.023999271,1.2794193,-1.5683301,1111,p,1111_165,29.43827149,45.26026244,2.023999271,1.949759967,0.04269,0.040644344,-0.05233,-0.05079724,1.472927625,0.060724373,-0.016188953,-0.69404076,1.053860472,0.044477755,-0.011502227,-0.703066975,0.133524379,0.121464694,15.3229331,15.76528864,53.00674164,10.26589138,-0.007394305,-0.007394305,3,-2.35619449
79,29.48,45.21,15831,0.0428,-0.05233,165,0.067603764,7.2939053,2.026084806,1.282716,-1.5683301,1111,p,1111_165,29.48352036,45.20883258,2.026084806,1.998906702,0.0428,0.042670516,-0.05233,-0.051337412,0.10373189,0.015285785,0.008587693,-0.721551707,0.046971206,0.016517116,0.010542418,-0.703677265,0.009154341,0.088472643,15.10333899,16.25190962,53.00118064,10.19761572,-0.005560993,-0.005560993,3,-2.35619449
80,29.52,45.16,15832,0.03856,-0.04999,165,0.063133776,6.811629384,1.892119273,1.1556432,-1.4982003,1111,p,1111_165,29.52609955,45.159819,1.892119273,2.002367893,0.03856,0.043180552,-0.04999,-0.051050869,-1.077758288,-0.019848005,0.031803188,-0.71526341,-0.999699887,-0.013519409,0.03241837,-0.70650226,0.042374935,0.071538118,15.70006639,15.06855585,52.99550316,10.13293896,-0.005677485,-0.005677485,3,-2.35619449
